#
# STELLAR LUMINOSITY TABULAR VALUES - EXAMPLE FILE
#
#--- The stellar luminosity file should have this format
#...... 3 columns (age [yr], bolometric luminosity [erg/s], XUV luminosity [erg/s]), separated by a blank space
#...... Any line starting with # is skipped
#
#--- No extrapolation is done by JADE
#...... For times outside the age range defined here, the luminosities of the age boundaries will be used
#...... Be sure to define a wide enough age range to cover the entire simulation to avoid unphysical situations
#
# age (yr)    Lbol (erg/s)  Lxuv (erg/s)     
#
6.110348e+06  1.903472e+32  8.800477e+29
6.259915e+06  1.899138e+32  8.782792e+29
6.409483e+06  1.894857e+32  8.765321e+29
6.559051e+06  1.890586e+32  8.747884e+29
6.708619e+06  1.886368e+32  8.730660e+29
6.858186e+06  1.882160e+32  8.713470e+29
7.007754e+06  1.877961e+32  8.696313e+29
7.157322e+06  1.873814e+32  8.679367e+29
7.306890e+06  1.869720e+32  8.662630e+29
7.456458e+06  1.865591e+32  8.645750e+29
7.606025e+06  1.861558e+32  8.629254e+29
7.755593e+06  1.857490e+32  8.612614e+29
7.905161e+06  1.853517e+32  8.596355e+29
8.054729e+06  1.849509e+32  8.579953e+29
8.204296e+06  1.845553e+32  8.563757e+29
8.353864e+06  1.841647e+32  8.547764e+29
8.503432e+06  1.837708e+32  8.531629e+29
8.653000e+06  1.833861e+32  8.515870e+29
8.802568e+06  1.829981e+32  8.499967e+29
8.952135e+06  1.826150e+32  8.484267e+29
9.101703e+06  1.822370e+32  8.468768e+29
9.251271e+06  1.818597e+32  8.453297e+29
9.400839e+06  1.814832e+32  8.437854e+29
9.550406e+06  1.811117e+32  8.422611e+29
9.699974e+06  1.807409e+32  8.407396e+29
9.849542e+06  1.803709e+32  8.392208e+29
9.999110e+06  1.800058e+32  8.377218e+29
1.014868e+07  1.796414e+32  8.362255e+29
1.029824e+07  1.792819e+32  8.347488e+29
1.044781e+07  1.789231e+32  8.332747e+29
1.059738e+07  1.785651e+32  8.318033e+29
1.074695e+07  1.782118e+32  8.303513e+29
1.089652e+07  1.778634e+32  8.289187e+29
1.104608e+07  1.775156e+32  8.274886e+29
1.119565e+07  1.771726e+32  8.260777e+29
1.134522e+07  1.768302e+32  8.246693e+29
1.149479e+07  1.764885e+32  8.232633e+29
1.164436e+07  1.761516e+32  8.218763e+29
1.179392e+07  1.758152e+32  8.204917e+29
1.194349e+07  1.754795e+32  8.191095e+29
1.209306e+07  1.751485e+32  8.177462e+29
1.224263e+07  1.748181e+32  8.163852e+29
1.239219e+07  1.744884e+32  8.150264e+29
1.254176e+07  1.741632e+32  8.136864e+29
1.269133e+07  1.738387e+32  8.123487e+29
1.284090e+07  1.735188e+32  8.110296e+29
1.299047e+07  1.731994e+32  8.097127e+29
1.314003e+07  1.728807e+32  8.083980e+29
1.328960e+07  1.725665e+32  8.071017e+29
1.343917e+07  1.722489e+32  8.057912e+29
1.358874e+07  1.719398e+32  8.045155e+29
1.373830e+07  1.716273e+32  8.032255e+29
1.388787e+07  1.713194e+32  8.019539e+29
1.403744e+07  1.710120e+32  8.006843e+29
1.418701e+07  1.707090e+32  7.994330e+29
1.433658e+07  1.704066e+32  7.981836e+29
1.448614e+07  1.701048e+32  7.969361e+29
1.463571e+07  1.698034e+32  7.956907e+29
1.478528e+07  1.695065e+32  7.944633e+29
1.493485e+07  1.692102e+32  7.932378e+29
1.508441e+07  1.689182e+32  7.920303e+29
1.523398e+07  1.686268e+32  7.908247e+29
1.538355e+07  1.683358e+32  7.896209e+29
1.553312e+07  1.680453e+32  7.884189e+29
1.568269e+07  1.677593e+32  7.872347e+29
1.583225e+07  1.674736e+32  7.860524e+29
1.598182e+07  1.671885e+32  7.848718e+29
1.613139e+07  1.669077e+32  7.837089e+29
1.628096e+07  1.666274e+32  7.825478e+29
1.643052e+07  1.663476e+32  7.813883e+29
1.658009e+07  1.660720e+32  7.802465e+29
1.672966e+07  1.657969e+32  7.791063e+29
1.687923e+07  1.655223e+32  7.779678e+29
1.702880e+07  1.652481e+32  7.768310e+29
1.717836e+07  1.649782e+32  7.757115e+29
